node_id,label,feat
kmeasure-3c4cd3bd-d403-11ec-8219-00155d8545fd,10009,"0.146702696611608, 1.0"
kmeasure-3c49e8a4-d403-11ec-af41-00155d8545fd,10022,"0, 1.0"
kmeasure-3c4c01c7-d403-11ec-a036-00155d8545fd,10006,"0.00530382016228097, 1.0"
kmeasure-3c507809-d403-11ec-b669-00155d8545fd,10016,"0.100070385693152, 1.0"
kmeasure-3c49fe0e-d403-11ec-a0ad-00155d8545fd,10027,"0, 1.0"
kmeasure-3c4e63e6-d403-11ec-a6de-00155d8545fd,10002,"0, 1.0"
kmeasure-3c4d8e3f-d403-11ec-a8ac-00155d8545fd,10004,"0, 1.0"
kmeasure-3c4e946a-d403-11ec-ba8f-00155d8545fd,10008,"0.00379164061995666, 1.0"
kmeasure-3c4dea55-d403-11ec-b90f-00155d8545fd,10005,"0.0103912470917133, 1.0"
kmeasure-3c4d7e9d-d403-11ec-a34e-00155d8545fd,10004,"0, 1.0"
kmeasure-3c49aeeb-d403-11ec-9ac7-00155d8545fd,10031,"0, 1.0"
kmeasure-3c5071b0-d403-11ec-b114-00155d8545fd,10021,"0.0025506553310526, 1.0"
kmeasure-3c4b0f33-d403-11ec-bdc1-00155d8545fd,10026,"0, 1.0"
kmeasure-3c4a72c4-d403-11ec-9dd0-00155d8545fd,10023,"0.0099865672017497, 1.0"
kmeasure-3c49a577-d403-11ec-b692-00155d8545fd,10031,"0, 1.0"
kmeasure-3c4fbb31-d403-11ec-8078-00155d8545fd,10013,"0, 1.0"
kmeasure-3c4a6528-d403-11ec-bb5d-00155d8545fd,10011,"0.123602543724624, 1.0"
kmeasure-3c4f084d-d403-11ec-8a25-00155d8545fd,10018,"0.0944203449062871, 1.0"
kmeasure-3c4a9f36-d403-11ec-8228-00155d8545fd,10023,"0, 1.0"
kmeasure-3c4f6ce0-d403-11ec-97a2-00155d8545fd,10020,"0, 1.0"
kmeasure-3c4a90c9-d403-11ec-82e1-00155d8545fd,10023,"0, 1.0"
kmeasure-3c4f76f7-d403-11ec-8b27-00155d8545fd,10020,"0.00663682439309379, 1.0"
kmeasure-3c4e8d1d-d403-11ec-9150-00155d8545fd,10008,"0.00888015325000624, 1.0"
kmeasure-3c501635-d403-11ec-a701-00155d8545fd,10017,"0, 1.0"
kmeasure-3c5076d8-d403-11ec-9b85-00155d8545fd,10016,"0.0955142721673966, 1.0"
kmeasure-3c50b994-d403-11ec-987c-00155d8545fd,10012,"0.0885870911852608, 1.0"
kmeasure-3c4c8944-d403-11ec-98e5-00155d8545fd,10010,"0.00225465867384934, 1.0"
kmeasure-3c5084f7-d403-11ec-9b75-00155d8545fd,10016,"0.0366822658222344, 1.0"
kmeasure-3c4bd13d-d403-11ec-8144-00155d8545fd,10028,"0.19535374960166, 1.0"
kmeasure-3c4fd6a9-d403-11ec-b07c-00155d8545fd,10025,"0.00994304036905627, 1.0"
kmeasure-3c4e78d2-d403-11ec-81de-00155d8545fd,10002,"0, 1.0"
kmeasure-3c4b9f51-d403-11ec-8989-00155d8545fd,10015,"0.00092145542902788, 1.0"
kmeasure-3c4d5ee4-d403-11ec-9432-00155d8545fd,10004,"8, 1.0"
kmeasure-3c4b3b26-d403-11ec-b106-00155d8545fd,10003,"0, 1.0"
kmeasure-3c4a37af-d403-11ec-8b5d-00155d8545fd,10011,"0.132139588554734, 1.0"
kmeasure-3c49d464-d403-11ec-b5ab-00155d8545fd,10022,"0, 1.0"
kmeasure-3c4f6050-d403-11ec-b181-00155d8545fd,10024,"0.00933715802874005, 1.0"
kmeasure-3c4c46ea-d403-11ec-8c65-00155d8545fd,10014,"0.0606156688770015, 1.0"
kmeasure-3c4a89d2-d403-11ec-8883-00155d8545fd,10023,"0.00488514794059415, 1.0"
kmeasure-3c4cd336-d403-11ec-9d18-00155d8545fd,10009,"0.0114592528352397, 1.0"
kmeasure-3c4ab136-d403-11ec-ad38-00155d8545fd,10023,"0.0034798875711857, 1.0"
kmeasure-3c4a28bb-d403-11ec-a6e9-00155d8545fd,10027,"0.000443959769765239, 1.0"
kmeasure-3c50baaa-d403-11ec-988e-00155d8545fd,10012,"0.219955785711897, 1.0"
kmeasure-3c50b272-d403-11ec-bd6f-00155d8545fd,10012,"0.166271301796142, 1.0"
kmeasure-3c4a03e3-d403-11ec-a74a-00155d8545fd,10027,"5.21082546407487E-06, 1.0"
kmeasure-3c4de10d-d403-11ec-a865-00155d8545fd,10005,"0.00184286180206961, 1.0"
kmeasure-3c4ddb86-d403-11ec-aa0c-00155d8545fd,10005,"0.0251559317712821, 1.0"
kmeasure-3c4ec8ed-d403-11ec-bae8-00155d8545fd,10032,"0, 1.0"
kmeasure-3c50a0f5-d403-11ec-9295-00155d8545fd,10016,"0.0969170476919895, 1.0"
kmeasure-3c4fc939-d403-11ec-806c-00155d8545fd,10013,"0.00295273577789922, 1.0"
kmeasure-3c4e1e86-d403-11ec-8bba-00155d8545fd,10019,"0.0869955936016113, 1.0"
kmeasure-3c4f0634-d403-11ec-97a0-00155d8545fd,10018,"0.0246972775113931, 1.0"
kmeasure-3c4e0233-d403-11ec-90f7-00155d8545fd,10005,"0.0083141673840395, 1.0"
kmeasure-3c4cb8ca-d403-11ec-acd4-00155d8545fd,10009,"0.194519585567969, 1.0"
kmeasure-3c4e4ba6-d403-11ec-b9f4-00155d8545fd,10002,"0, 1.0"
kmeasure-3c49ea2d-d403-11ec-a65a-00155d8545fd,10022,"0, 1.0"
