"kobs_id","kmeasure_id"
"obf-8c302563-5294-498c-95a4-b96daf9ed5e1","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-f0a70cc6-83e5-49e2-aa52-a3068c7304ef","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
"obf-1ccba6a5-ff26-4306-bd58-c652533540e6","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-1ccba6a5-ff26-4306-bd58-c652533540e6","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c","mact-9091ce1c-0357-4e2e-adf6-743c11384e8e"
"obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obf-f0a70cc6-83e5-49e2-aa52-a3068c7304ef","mact-02528e65-c88d-4434-80ff-99d3b326e001"
"obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","mact-3ee44709-485e-4daa-9824-87de6ffa2689"
"obf-9300e8ea-52e6-4368-82a2-42f8afd594e2","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-5a728e27-6359-433e-b673-ab863b561427","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-c902f00f-97fd-45c0-8753-dace2c608168","mact-9a9885eb-589d-4836-8902-a2266e628652"
"obf-be003bad-fc60-4ba7-868d-194f909d4c4b","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-f0a70cc6-83e5-49e2-aa52-a3068c7304ef","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-9d9c9b98-5ab5-47e1-8392-892bc853a203","mact-9091ce1c-0357-4e2e-adf6-743c11384e8e"
"obf-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","mact-7b411daa-2993-46f7-9883-88ed9410a66c"
"obf-1ccba6a5-ff26-4306-bd58-c652533540e6","mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1"
"obf-2480daf0-c14e-4db9-9adb-46b00df4da5e","mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b"
"obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-6f14fa07-7cbf-4473-9ab3-d47864b7ed98","mact-26b34fef-27d0-4145-a138-15c4d63f03a2"
"obf-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712"
"obf-6f14fa07-7cbf-4473-9ab3-d47864b7ed98","mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec"
